	BioProject	Sample	Read1_before	Read1_after	Read2_before	Read2_after	Adapter_trimmed	Kraken_total	Classified_reads	Classified_%	Unclassified_reads	Unclassified_%	File
0	PRJNA447983	SRR6915104	19929853	19606863	19929853	19606863	275752	39213726	34465845	87.89	4747881	12.11	693749_7_PRJNA447983_SRR6915104.err
2	PRJNA1237248	SRR32733101	63543388	63519518			0	63519518	56798216	89.42	6721302	10.58	234325_776_PRJNA1237248_SRR32733101.err
3	PRJNA447983	SRR6915202	38260125	37605760	38260125	37605760	97838	75211520	67052033	89.15	8159487	10.85	693749_60_PRJNA447983_SRR6915202.err
4	PRJNA429097	SRR6456233	25150422	23282694	25150422	23282694	40784	46565388	42068321	90.34	4497067	9.66	693416_47_PRJNA429097_SRR6456233.err
6	PRJNA1237248	SRR32733279	35463020	35448640			0	35448640	30132251	85.00	5316389	15.00	234325_624_PRJNA1237248_SRR32733279.err
7	PRJNA447983	SRR6915223	30930699	30140645	30930699	30140645	481172	60281290	51045582	84.68	9235708	15.32	693749_53_PRJNA447983_SRR6915223.err
8	PRJNA429097	SRR6456373	18266217	14607976	18266217	14607976	36728	29215952	25768393	88.20	3447559	11.80	693416_71_PRJNA429097_SRR6456373.err
10	PRJEB72526		7492857	7337978	7492857	7337978	142408	14675956	12917295	88.02	1758661	11.98	234324_56_PRJEB72526_ERR14225594.err
12	PRJNA1237248	SRR32733419	50068509	50045700			0	50045700	44992466	89.90	5053234	10.10	234325_331_PRJNA1237248_SRR32733419.err
13	PRJNA1237248	SRR32733628	66814450	66783461			0	66783461	57991642	86.84	8791819	13.16	234325_526_PRJNA1237248_SRR32733628.err
15	PRJEB72524		5639004	5379931	5639004	5379931	118444	10759862	8287013	77.02	2472849	22.98	694103_95_PRJEB72524_ERR14205000.err
16	PRJNA1237248	SRR32733257	60395079	60367597			0	60367597	53869748	89.24	6497849	10.76	234325_500_PRJNA1237248_SRR32733257.err
18	PRJNA1167935	SRR30861077	44801578	42431638	44801578	42431638	16672	84863276	75554898	89.03	9308378	10.97	234217_6_PRJNA1167935_SRR30861077.err
19	PRJEB72523		13426175	12714463	13426175	12714463	8860	25428926	22312931	87.75	3115995	12.25	234221_104_PRJEB72523_ERR14134542.err
20	PRJNA1237248	SRR32732975	46334999	46317824			0	46317824	41976982	90.63	4340842	9.37	234325_2_PRJNA1237248_SRR32732975.err
21	PRJNA429097	SRR6456235	19573310	18406631	19573310	18406631	58264	36813262	32588587	88.52	4224675	11.48	693416_14_PRJNA429097_SRR6456235.err
24	PRJEB59350		16298127	12988097	16298127	12988097	57856	25976194	22909664	88.19	3066530	11.81	234322_14_PRJEB59350_ERR10818476.err
25	PRJNA731589	SRR14610626	33045330	32637102	33045330	32637102	452278	65274204	58863853	90.18	6410351	9.82	693420_34_PRJNA731589_SRR14610626.err
26	PRJNA763023	SRR16124170	35676030	35155544	35676030	35155544	2141682	70311088	64295412	91.44	6015676	8.56	693415_43_PRJNA763023_SRR16124170.err
27	PRJEB59350		24643673	20603812	24643673	20603812	33276	41207624	36564038	88.73	4643586	11.27	234322_68_PRJEB59350_ERR10818516.err
